"label","name","lat","lng"
"Bus Stop","Todd Rd/Wharf Rd (Port Melbourne)",-37.827931,144.908893
"Bus Stop","Fishermans Bend/Wharf Rd (Port Melbourne)",-37.82907,144.907065
"Bus Stop","Todd Rd/Wharf Rd (Port Melbourne)",-37.827822,144.908828
"Bus Stop","Wirraway Dr/Todd Rd (Port Melbourne)",-37.826247,144.911508
"Bus Stop","Sabre Dr/Lorimer St (Port Melbourne)",-37.824674,144.906633
"Bus Stop","Canberra St/Lorimer St (Port Melbourne)",-37.827327,144.90282
"Bus Stop","Sardine St/Lorimer St (Port Melbourne)",-37.829531,144.901076
"Bus Stop","Sardine St/Lorimer St (Port Melbourne)",-37.829981,144.900529
"Bus Stop","Canberra St/Lorimer St (Port Melbourne)",-37.82695,144.902876
"Bus Stop","Sabre Dr/Lorimer St (Port Melbourne)",-37.824519,144.906535
"Bus Stop","DST Group/Lorimer St (Port Melbourne)",-37.821874,144.913403
"Bus Stop","Bayside Ave/Lorimer St (Port Melbourne)",-37.821269,144.916397
"Bus Stop","Bayside Ave/Lorimer St (Port Melbourne)",-37.821455,144.916187
"Bus Stop","DST Group/Lorimer St (Port Melbourne)",-37.82207,144.913273
"Bus Stop","Wirraway Dr/Todd Rd (Port Melbourne)",-37.825411,144.9116
"Bus Stop","Perce White Reserve/Todd Rd (Port Melbourne)",-37.838189,144.915148
"Tram Stop","112-Lygon St/Elgin St (Carlton)",-37.797113,144.967159
"Tram Stop","113-Lytton St/Lygon St (Carlton)",-37.794127,144.968025
"Tram Stop","114-Princes St/Lygon St (Carlton North)",-37.792689,144.968269
"Tram Stop","115-Melbourne Cemetery/Lygon St (Carlton North)",-37.78958,144.968797
"Tram Stop","116-Fenwick St/Lygon St (Carlton North)",-37.78737,144.969186
"Tram Stop","26-Alfred Hospital/Commercial Rd (South Yarra)",-37.845278,144.982225
"Tram Stop","27-Punt Rd/Commercial Rd (South Yarra)",-37.84563,144.984863
"Tram Stop","32-Sandown Rd/Epsom Rd (Ascot Vale)",-37.782668,144.916675
"Tram Stop","31-Racing Victoria/400 Epsom Rd (Flemington)",-37.784425,144.918204
"Tram Stop","30-Flemington Racecourse/Epsom Rd (Flemington)",-37.785913,144.919786
"Tram Stop","29-Flemington Racecourse/Racecourse Rd (Flemington)",-37.787446,144.921889
"Tram Stop","28-Smithfield Rd/Racecourse Rd (Flemington)",-37.787741,144.925345
"Tram Stop","26-Newmarket Plaza/Racecourse Rd (Kensington)",-37.788074,144.92839
"Tram Stop","24-Collett St/Racecourse Rd (Kensington)",-37.788507,144.933522
"Tram Stop","23-Stubbs St/Racecourse Rd (Flemington)",-37.788749,144.93548
"Tram Stop","22-Boundary Rd/Racecourse Rd (North Melbourne)",-37.789209,144.940145
"Tram Stop","19-Abbotsford St Interchange/Abbotsford St (North Melbourne)",-37.793729,144.947163
"Tram Stop","18-Erskine St/Abbotsford St (North Melbourne)",-37.795246,144.946803
"Tram Stop","17-Canning St/Abbotsford St (North Melbourne)",-37.796719,144.946535
"Tram Stop","16-Haines St/Abbotsford St (North Melbourne)",-37.797968,144.946319
"Tram Stop","15-Arden St/Abbotsford St (North Melbourne)",-37.800672,144.945835
"Tram Stop","14-Abbotsford St/Queensberry St (North Melbourne)",-37.802663,144.945802
"Tram Stop","23-Royal Park/Royal Park (Parkville)",-37.791414,144.949294
"Tram Stop","24-Elliott Ave/Royal Park (Parkville)",-37.787878,144.949619
"Tram Stop","25-State Netball Hockey Centre/Royal Park (Parkville)",-37.784383,144.94867
"Tram Stop","26-Melbourne Zoo/Royal Park (Parkville)",-37.782375,144.949282
"Tram Stop","27-Royal Park Station/Royal Park (Parkville)",-37.780872,144.950925
"Tram Stop","28-Park St/Royal Park (Parkville)",-37.776917,144.94949
"Tram Stop","124-Walsh St/Toorak Rd (South Yarra)",-37.83819,144.984565
"Tram Stop","28-Punt Rd/High St (Prahran)",-37.850564,144.984047
"Tram Stop","18-Princes Park/Royal Pde (Parkville)",-37.779379,144.959936
"Tram Stop","17-Ievers St/Royal Pde (Parkville)",-37.781888,144.95964
"Tram Stop","16-Visy Park/Royal Pde (Parkville)",-37.784856,144.959274
"Tram Stop","15-Leonard St/Royal Pde (Parkville)",-37.787931,144.958894
"Tram Stop","14-Macarthur Rd/Royal Pde (Parkville)",-37.790017,144.958644
"Tram Stop","13-Gatehouse St/Royal Pde (Parkville)",-37.792679,144.95831
"Tram Stop","12-Morrah St/Royal Pde (Parkville)",-37.795656,144.957944
"Tram Stop","18-Princes Park/Royal Pde (Parkville)",-37.779383,144.960152
"Tram Stop","11-University of Melbourne/Royal Pde (Parkville)",-37.798273,144.957656
"Tram Stop","17-Ievers St/Royal Pde (Parkville)",-37.781684,144.959838
"Tram Stop","16-Walker St/Royal Pde (Parkville)",-37.784589,144.959509
"Tram Stop","15-Leonard St/Royal Pde (Parkville)",-37.787674,144.959129
"Tram Stop","14-Cemetery Road West/Royal Pde (Parkville)",-37.789715,144.958879
"Tram Stop","13-Gatehouse St/Royal Pde (Parkville)",-37.792422,144.958544
"Tram Stop","12-Morrah St/Royal Pde (Parkville)",-37.795561,144.958173
"Tram Stop","11-University of Melbourne/Royal Pde (Parkville)",-37.798105,144.957854
"Tram Stop","7-Russell St/Bourke St (Melbourne City)",-37.812769,144.968354
"Tram Stop","6-Swanston St/Bourke St (Melbourne City)",-37.813484,144.965904
"Tram Stop","5-Elizabeth St/Bourke St (Melbourne City)",-37.814217,144.96351
