"Place","Distance","Theme","Count"
"North Melbourne Recreation Centre (Gymnasium)","5km - 10km","Leisure and Recreation",1
"North Melbourne Recreation Centre (Gymnasium)","5km - 10km","Place Of Assembly",1
"North Melbourne Recreation Centre (Gymnasium)","5km - 10km","Place of Worship",3
"North Melbourne Recreation Centre (Gymnasium)","5km - 10km","Public and Institutional Facilities",2
"Carlton Baths","Within 500m","Leisure and Recreation",1
"Carlton Baths","Within 500m","Place of Worship",1
"Carlton Baths","Within 500m","Public and Institutional Facilities",1
"Carlton Baths","500m - 1km","Health Services",1
"Carlton Baths","500m - 1km","Leisure and Recreation",3
"Carlton Baths","500m - 1km","Place Of Assembly",3
"Carlton Baths","500m - 1km","Public and Institutional Facilities",2
"Carlton Baths","1km - 5km","Health Services",9
"Carlton Baths","1km - 5km","Leisure and Recreation",58
"Carlton Baths","1km - 5km","Place Of Assembly",37
"Carlton Baths","1km - 5km","Place of Worship",28
"Carlton Baths","1km - 5km","Public and Institutional Facilities",50
"Carlton Baths","1km - 5km","Retail",4
"Carlton Baths","5km - 10km","Health Services",1
"Carlton Baths","5km - 10km","Leisure and Recreation",5
"Carlton Baths","5km - 10km","Place of Worship",2
"Carlton Baths","5km - 10km","Public and Institutional Facilities",1
"Conservatory","Within 500m","Health Services",1
"Conservatory","Within 500m","Leisure and Recreation",2
"Conservatory","Within 500m","Place Of Assembly",2
"Conservatory","Within 500m","Place of Worship",3
"Conservatory","Within 500m","Public and Institutional Facilities",3
"Conservatory","500m - 1km","Health Services",4
"Conservatory","500m - 1km","Leisure and Recreation",12
"Conservatory","500m - 1km","Place Of Assembly",14
"Conservatory","500m - 1km","Place of Worship",7
"Conservatory","500m - 1km","Public and Institutional Facilities",3
"Conservatory","1km - 5km","Health Services",6
"Conservatory","1km - 5km","Leisure and Recreation",46
"Conservatory","1km - 5km","Place Of Assembly",24
"Conservatory","1km - 5km","Place of Worship",20
"Conservatory","1km - 5km","Public and Institutional Facilities",47
"Conservatory","1km - 5km","Retail",4
"Conservatory","5km - 10km","Leisure and Recreation",7
"Conservatory","5km - 10km","Place of Worship",1
"Conservatory","5km - 10km","Public and Institutional Facilities",1
"Eureka Tower","Within 500m","Leisure and Recreation",3
"Eureka Tower","Within 500m","Place Of Assembly",7
"Eureka Tower","Within 500m","Place of Worship",1
"Eureka Tower","Within 500m","Public and Institutional Facilities",12
"Eureka Tower","500m - 1km","Leisure and Recreation",10
"Eureka Tower","500m - 1km","Place Of Assembly",10
"Eureka Tower","500m - 1km","Place of Worship",5
"Eureka Tower","500m - 1km","Public and Institutional Facilities",9
"Eureka Tower","500m - 1km","Retail",2
"Eureka Tower","1km - 5km","Health Services",11
"Eureka Tower","1km - 5km","Leisure and Recreation",49
"Eureka Tower","1km - 5km","Place Of Assembly",23
"Eureka Tower","1km - 5km","Place of Worship",25
"Eureka Tower","1km - 5km","Public and Institutional Facilities",33
"Eureka Tower","1km - 5km","Retail",2
"Eureka Tower","5km - 10km","Leisure and Recreation",5
"Freshwater Place","Within 500m","Leisure and Recreation",5
"Freshwater Place","Within 500m","Place Of Assembly",1
"Freshwater Place","Within 500m","Place of Worship",1
"Freshwater Place","Within 500m","Public and Institutional Facilities",9
"Freshwater Place","500m - 1km","Leisure and Recreation",6
"Freshwater Place","500m - 1km","Place Of Assembly",18
"Freshwater Place","500m - 1km","Place of Worship",4
"Freshwater Place","500m - 1km","Public and Institutional Facilities",12
"Freshwater Place","500m - 1km","Retail",2
"Freshwater Place","1km - 5km","Health Services",11
"Freshwater Place","1km - 5km","Leisure and Recreation",52
"Freshwater Place","1km - 5km","Place Of Assembly",21
"Freshwater Place","1km - 5km","Place of Worship",26
"Freshwater Place","1km - 5km","Public and Institutional Facilities",33
"Freshwater Place","1km - 5km","Retail",2
"Freshwater Place","5km - 10km","Leisure and Recreation",4
"Melbourne Visitor Centre","Within 500m","Leisure and Recreation",4
"Melbourne Visitor Centre","Within 500m","Place Of Assembly",11
"Melbourne Visitor Centre","Within 500m","Place of Worship",5
"Melbourne Visitor Centre","Within 500m","Public and Institutional Facilities",6
"Melbourne Visitor Centre","500m - 1km","Leisure and Recreation",8
"Melbourne Visitor Centre","500m - 1km","Place Of Assembly",7
"Melbourne Visitor Centre","500m - 1km","Place of Worship",3
"Melbourne Visitor Centre","500m - 1km","Public and Institutional Facilities",22
"Melbourne Visitor Centre","500m - 1km","Retail",2
"Melbourne Visitor Centre","1km - 5km","Health Services",11
"Melbourne Visitor Centre","1km - 5km","Leisure and Recreation",50
"Melbourne Visitor Centre","1km - 5km","Place Of Assembly",22
"Melbourne Visitor Centre","1km - 5km","Place of Worship",23
"Melbourne Visitor Centre","1km - 5km","Public and Institutional Facilities",26
"Melbourne Visitor Centre","1km - 5km","Retail",2
"Melbourne Visitor Centre","5km - 10km","Leisure and Recreation",5
"Australian Centre For The Moving Image (ACMI)","Within 500m","Leisure and Recreation",6
"Australian Centre For The Moving Image (ACMI)","Within 500m","Place Of Assembly",11
"Australian Centre For The Moving Image (ACMI)","Within 500m","Place of Worship",5
"Australian Centre For The Moving Image (ACMI)","Within 500m","Public and Institutional Facilities",6
"Australian Centre For The Moving Image (ACMI)","500m - 1km","Leisure and Recreation",9
"Australian Centre For The Moving Image (ACMI)","500m - 1km","Place Of Assembly",7
"Australian Centre For The Moving Image (ACMI)","500m - 1km","Place of Worship",4
"Australian Centre For The Moving Image (ACMI)","500m - 1km","Public and Institutional Facilities",22
"Australian Centre For The Moving Image (ACMI)","500m - 1km","Retail",2
"Australian Centre For The Moving Image (ACMI)","1km - 5km","Health Services",11
"Australian Centre For The Moving Image (ACMI)","1km - 5km","Leisure and Recreation",46
"Australian Centre For The Moving Image (ACMI)","1km - 5km","Place Of Assembly",22
"Australian Centre For The Moving Image (ACMI)","1km - 5km","Place of Worship",22
"Australian Centre For The Moving Image (ACMI)","1km - 5km","Public and Institutional Facilities",26
"Australian Centre For The Moving Image (ACMI)","1km - 5km","Retail",2
"Australian Centre For The Moving Image (ACMI)","5km - 10km","Leisure and Recreation",6
"Dallas Brooks Centre","Within 500m","Health Services",5
"Dallas Brooks Centre","Within 500m","Leisure and Recreation",1
"Dallas Brooks Centre","Within 500m","Place Of Assembly",1
"Dallas Brooks Centre","Within 500m","Place of Worship",3
"Dallas Brooks Centre","500m - 1km","Leisure and Recreation",5
"Dallas Brooks Centre","500m - 1km","Place Of Assembly",5
"Dallas Brooks Centre","500m - 1km","Place of Worship",4
"Dallas Brooks Centre","500m - 1km","Public and Institutional Facilities",5
"Dallas Brooks Centre","1km - 5km","Health Services",6
"Dallas Brooks Centre","1km - 5km","Leisure and Recreation",54
"Dallas Brooks Centre","1km - 5km","Place Of Assembly",34
"Dallas Brooks Centre","1km - 5km","Place of Worship",23
"Dallas Brooks Centre","1km - 5km","Public and Institutional Facilities",47
"Dallas Brooks Centre","1km - 5km","Retail",4
"Dallas Brooks Centre","5km - 10km","Leisure and Recreation",7
"Dallas Brooks Centre","5km - 10km","Place of Worship",1
"Dallas Brooks Centre","5km - 10km","Public and Institutional Facilities",2
"The Melbourne Athenaeum Library","Within 500m","Leisure and Recreation",1
"The Melbourne Athenaeum Library","Within 500m","Place Of Assembly",8
"The Melbourne Athenaeum Library","Within 500m","Place of Worship",4
"The Melbourne Athenaeum Library","Within 500m","Public and Institutional Facilities",7
"The Melbourne Athenaeum Library","Within 500m","Retail",2
"The Melbourne Athenaeum Library","500m - 1km","Health Services",1
"The Melbourne Athenaeum Library","500m - 1km","Leisure and Recreation",11
"The Melbourne Athenaeum Library","500m - 1km","Place Of Assembly",10
"The Melbourne Athenaeum Library","500m - 1km","Place of Worship",9
"The Melbourne Athenaeum Library","500m - 1km","Public and Institutional Facilities",20
"The Melbourne Athenaeum Library","1km - 5km","Health Services",10
"The Melbourne Athenaeum Library","1km - 5km","Leisure and Recreation",50
"The Melbourne Athenaeum Library","1km - 5km","Place Of Assembly",22
"The Melbourne Athenaeum Library","1km - 5km","Place of Worship",18
"The Melbourne Athenaeum Library","1km - 5km","Public and Institutional Facilities",27
"The Melbourne Athenaeum Library","1km - 5km","Retail",2
"The Melbourne Athenaeum Library","5km - 10km","Leisure and Recreation",5
"Romanian Orthodox","Within 500m","Leisure and Recreation",5
"Romanian Orthodox","Within 500m","Place Of Assembly",4
"Romanian Orthodox","Within 500m","Place of Worship",2
"Romanian Orthodox","Within 500m","Public and Institutional Facilities",2
"Romanian Orthodox","500m - 1km","Health Services",2
"Romanian Orthodox","500m - 1km","Leisure and Recreation",5
"Romanian Orthodox","500m - 1km","Place Of Assembly",8
"Romanian Orthodox","500m - 1km","Place of Worship",7
"Romanian Orthodox","500m - 1km","Public and Institutional Facilities",7
"Romanian Orthodox","500m - 1km","Retail",3
"Romanian Orthodox","1km - 5km","Health Services",9
"Romanian Orthodox","1km - 5km","Leisure and Recreation",53
"Romanian Orthodox","1km - 5km","Place Of Assembly",28
"Romanian Orthodox","1km - 5km","Place of Worship",22
"Romanian Orthodox","1km - 5km","Public and Institutional Facilities",44
"Romanian Orthodox","1km - 5km","Retail",1
"Romanian Orthodox","5km - 10km","Leisure and Recreation",4
"Romanian Orthodox","5km - 10km","Public and Institutional Facilities",1
"Welsh Presbyterian Church","Within 500m","Leisure and Recreation",2
"Welsh Presbyterian Church","Within 500m","Place of Worship",3
"Welsh Presbyterian Church","Within 500m","Public and Institutional Facilities",9
"Welsh Presbyterian Church","Within 500m","Retail",2
"Welsh Presbyterian Church","500m - 1km","Leisure and Recreation",2
"Welsh Presbyterian Church","500m - 1km","Place Of Assembly",9
"Welsh Presbyterian Church","500m - 1km","Place of Worship",9
"Welsh Presbyterian Church","500m - 1km","Public and Institutional Facilities",6
"Welsh Presbyterian Church","500m - 1km","Retail",1
"Welsh Presbyterian Church","1km - 5km","Health Services",11
"Welsh Presbyterian Church","1km - 5km","Leisure and Recreation",61
"Welsh Presbyterian Church","1km - 5km","Place Of Assembly",31
"Welsh Presbyterian Church","1km - 5km","Place of Worship",19
"Welsh Presbyterian Church","1km - 5km","Public and Institutional Facilities",39
"Welsh Presbyterian Church","1km - 5km","Retail",1
"Welsh Presbyterian Church","5km - 10km","Leisure and Recreation",2
"St Peter's Eastern Hill","Within 500m","Health Services",2
"St Peter's Eastern Hill","Within 500m","Leisure and Recreation",1
"St Peter's Eastern Hill","Within 500m","Place Of Assembly",3
"St Peter's Eastern Hill","Within 500m","Place of Worship",5
"St Peter's Eastern Hill","Within 500m","Public and Institutional Facilities",4
"St Peter's Eastern Hill","500m - 1km","Health Services",3
"St Peter's Eastern Hill","500m - 1km","Leisure and Recreation",5
"St Peter's Eastern Hill","500m - 1km","Place Of Assembly",14
"St Peter's Eastern Hill","500m - 1km","Place of Worship",8
"St Peter's Eastern Hill","500m - 1km","Public and Institutional Facilities",7
"St Peter's Eastern Hill","1km - 5km","Health Services",6
"St Peter's Eastern Hill","1km - 5km","Leisure and Recreation",55
"St Peter's Eastern Hill","1km - 5km","Place Of Assembly",23
"St Peter's Eastern Hill","1km - 5km","Place of Worship",18
"St Peter's Eastern Hill","1km - 5km","Public and Institutional Facilities",43
"St Peter's Eastern Hill","1km - 5km","Retail",4
"St Peter's Eastern Hill","5km - 10km","Leisure and Recreation",6
"Lutheran Trinity Church","Within 500m","Health Services",2
"Lutheran Trinity Church","Within 500m","Leisure and Recreation",3
"Lutheran Trinity Church","Within 500m","Place Of Assembly",3
"Lutheran Trinity Church","Within 500m","Place of Worship",5
"Lutheran Trinity Church","Within 500m","Public and Institutional Facilities",5
"Lutheran Trinity Church","500m - 1km","Health Services",3
"Lutheran Trinity Church","500m - 1km","Leisure and Recreation",4
"Lutheran Trinity Church","500m - 1km","Place Of Assembly",15
"Lutheran Trinity Church","500m - 1km","Place of Worship",7
"Lutheran Trinity Church","500m - 1km","Public and Institutional Facilities",4
"Lutheran Trinity Church","1km - 5km","Health Services",6
"Lutheran Trinity Church","1km - 5km","Leisure and Recreation",54
"Lutheran Trinity Church","1km - 5km","Place Of Assembly",22
"Lutheran Trinity Church","1km - 5km","Place of Worship",19
"Lutheran Trinity Church","1km - 5km","Public and Institutional Facilities",45
"Lutheran Trinity Church","1km - 5km","Retail",4
"Lutheran Trinity Church","5km - 10km","Leisure and Recreation",6
"St Johns Lutheran Church","Within 500m","Leisure and Recreation",6
"St Johns Lutheran Church","Within 500m","Place Of Assembly",8
"St Johns Lutheran Church","Within 500m","Place of Worship",2
"St Johns Lutheran Church","Within 500m","Public and Institutional Facilities",16
"St Johns Lutheran Church","500m - 1km","Leisure and Recreation",8
"St Johns Lutheran Church","500m - 1km","Place Of Assembly",7
"St Johns Lutheran Church","500m - 1km","Place of Worship",3
"St Johns Lutheran Church","500m - 1km","Public and Institutional Facilities",5
"St Johns Lutheran Church","500m - 1km","Retail",2
"St Johns Lutheran Church","1km - 5km","Health Services",11
"St Johns Lutheran Church","1km - 5km","Leisure and Recreation",48
"St Johns Lutheran Church","1km - 5km","Place Of Assembly",25
"St Johns Lutheran Church","1km - 5km","Place of Worship",26
"St Johns Lutheran Church","1km - 5km","Public and Institutional Facilities",33
"St Johns Lutheran Church","1km - 5km","Retail",2
"St Johns Lutheran Church","5km - 10km","Leisure and Recreation",5
"St Michaels","Within 500m","Health Services",1
"St Michaels","Within 500m","Place of Worship",3
"St Michaels","500m - 1km","Health Services",1
"St Michaels","500m - 1km","Leisure and Recreation",5
"St Michaels","500m - 1km","Public and Institutional Facilities",4
"St Michaels","1km - 5km","Health Services",8
"St Michaels","1km - 5km","Leisure and Recreation",59
"St Michaels","1km - 5km","Place Of Assembly",39
"St Michaels","1km - 5km","Place of Worship",25
"St Michaels","1km - 5km","Public and Institutional Facilities",47
"St Michaels","1km - 5km","Retail",4
"St Michaels","5km - 10km","Health Services",1
"St Michaels","5km - 10km","Leisure and Recreation",3
"St Michaels","5km - 10km","Place Of Assembly",1
"St Michaels","5km - 10km","Place of Worship",3
"St Michaels","5km - 10km","Public and Institutional Facilities",3
